instancia,seed,alpha,tempo,obj.grasp,obj.best
../instancias/VFR500_60_3_Gap.txt,10,0.800000,293.603776,36553,33536
../instancias/VFR500_40_1_Gap.txt,3,0.400000,194.808712,33375,30582
../instancias/VFR500_60_3_Gap.txt,9,0.600000,295.042302,36229,33584
../instancias/VFR20_20_1_Gap.txt,8,0.800000,3.902518,2716,2335
../instancias/VFR500_40_1_Gap.txt,6,0.200000,193.843055,33714,30686
../instancias/VFR10_15_1_Gap.txt,4,0.400000,1.418260,1500,1346
../instancias/VFR60_5_10_Gap.txt,4,0.200000,3.088921,3861,3671
../instancias/VFR10_15_1_Gap.txt,7,1.000000,1.473001,1486,1309
../instancias/VFR60_5_10_Gap.txt,7,1.000000,3.261173,3948,3665
../instancias/VFR100_60_1_Gap.txt,3,0.200000,57.803612,11204,10077
../instancias/VFR10_15_1_Gap.txt,8,0.400000,1.452030,1431,1346
../instancias/VFR600_20_1_Gap.txt,6,0.400000,119.101521,35816,33119
../instancias/VFR60_5_10_Gap.txt,8,1.000000,3.116065,3782,3671
../instancias/VFR600_20_1_Gap.txt,2,0.800000,121.988827,36516,32981
../instancias/VFR600_20_1_Gap.txt,5,0.000000,117.829199,35473,32957
../instancias/VFR20_20_1_Gap.txt,10,0.400000,3.861091,2745,2344
../instancias/VFR100_60_1_Gap.txt,2,0.000000,57.272569,11247,9967
../instancias/VFR500_40_1_Gap.txt,7,0.200000,195.570442,33759,30740
../instancias/VFR600_20_1_Gap.txt,9,0.000000,116.536412,35473,32968
../instancias/VFR20_20_1_Gap.txt,2,1.000000,3.784059,2841,2362
../instancias/VFR600_20_1_Gap.txt,6,0.600000,117.052389,36370,32962
../instancias/VFR600_20_1_Gap.txt,4,0.600000,120.761728,35815,32876
../instancias/VFR20_10_3_Gap.txt,7,0.400000,2.086410,1944,1676
../instancias/VFR500_40_1_Gap.txt,4,0.000000,202.048987,33119,30581
../instancias/VFR500_60_3_Gap.txt,4,0.800000,301.220016,36811,33421
../instancias/VFR60_10_3_Gap.txt,5,0.600000,5.938167,4374,3548
../instancias/VFR500_60_3_Gap.txt,3,0.800000,292.859872,36481,33575
../instancias/VFR60_5_10_Gap.txt,5,0.600000,3.192210,3911,3667
../instancias/VFR60_5_10_Gap.txt,6,1.000000,3.106335,3927,3665
../instancias/VFR10_15_1_Gap.txt,8,0.200000,1.418545,1417,1352
../instancias/VFR100_60_1_Gap.txt,5,0.800000,59.814847,11225,10099
../instancias/VFR700_20_10_Gap.txt,1,0.200000,136.894920,40739,37811
../instancias/VFR100_60_1_Gap.txt,5,0.000000,57.497757,11247,10072
../instancias/VFR500_60_3_Gap.txt,1,0.600000,303.052579,36306,33528
../instancias/VFR60_10_3_Gap.txt,8,0.400000,5.975707,4403,3582
../instancias/VFR60_5_10_Gap.txt,7,0.600000,3.147655,3898,3680
../instancias/VFR500_60_3_Gap.txt,7,1.000000,303.009840,35877,33533
../instancias/VFR10_15_1_Gap.txt,3,0.000000,1.421227,1424,1309
../instancias/VFR600_20_1_Gap.txt,4,0.800000,122.148520,36453,33005
../instancias/VFR100_60_1_Gap.txt,7,0.800000,57.889462,11259,10042
../instancias/VFR20_10_3_Gap.txt,5,0.800000,2.015222,1924,1725
../instancias/VFR20_10_3_Gap.txt,4,0.600000,2.039667,1938,1689
../instancias/VFR20_10_3_Gap.txt,9,0.400000,2.003995,1931,1651
../instancias/VFR20_20_1_Gap.txt,4,0.600000,3.945563,2706,2363
../instancias/VFR600_20_1_Gap.txt,2,1.000000,120.844707,35861,32982
../instancias/VFR100_60_1_Gap.txt,6,1.000000,57.827243,11319,10075
../instancias/VFR20_20_1_Gap.txt,4,1.000000,3.768258,2711,2389
../instancias/VFR100_60_1_Gap.txt,5,0.200000,58.108093,11386,10099
../instancias/VFR20_10_3_Gap.txt,7,0.000000,2.031454,2017,1710
../instancias/VFR20_20_1_Gap.txt,9,0.800000,3.821010,2768,2344
../instancias/VFR20_10_3_Gap.txt,5,0.000000,1.995136,2017,1729
../instancias/VFR600_20_1_Gap.txt,6,0.200000,116.282628,36008,32945
../instancias/VFR500_60_3_Gap.txt,5,1.000000,294.331973,36108,33418
../instancias/VFR10_15_1_Gap.txt,9,0.000000,1.445940,1424,1354
../instancias/VFR60_5_10_Gap.txt,7,0.400000,3.124093,3819,3665
../instancias/VFR500_60_3_Gap.txt,10,0.400000,299.767990,36568,33512
../instancias/VFR700_20_10_Gap.txt,4,0.800000,137.928368,40819,37828
../instancias/VFR100_60_1_Gap.txt,9,0.600000,59.005888,11172,9952
../instancias/VFR60_5_10_Gap.txt,2,0.200000,3.157317,3812,3665
../instancias/VFR60_10_3_Gap.txt,3,0.400000,5.891197,4367,3537
../instancias/VFR600_20_1_Gap.txt,3,0.800000,118.171089,36104,32954
../instancias/VFR100_60_1_Gap.txt,8,0.400000,57.902064,11425,10163
../instancias/VFR60_5_10_Gap.txt,10,0.200000,3.511457,3847,3684
../instancias/VFR500_60_3_Gap.txt,6,0.200000,301.924853,36481,33669
../instancias/VFR60_10_3_Gap.txt,3,0.800000,6.056840,4383,3584
../instancias/VFR100_60_1_Gap.txt,1,0.200000,57.242925,11244,10171
../instancias/VFR20_20_1_Gap.txt,10,0.200000,3.970068,2764,2342
../instancias/VFR700_20_10_Gap.txt,4,0.200000,137.732925,40776,37682
../instancias/VFR60_10_3_Gap.txt,7,0.200000,6.230154,4427,3655
../instancias/VFR20_10_3_Gap.txt,10,0.400000,2.054380,1944,1653
../instancias/VFR100_60_1_Gap.txt,2,0.800000,56.476251,11386,10085
../instancias/VFR10_15_1_Gap.txt,9,0.800000,1.454313,1509,1398
../instancias/VFR700_20_10_Gap.txt,5,1.000000,137.404301,41899,37774
../instancias/VFR20_10_3_Gap.txt,5,0.600000,1.973178,1962,1618
